centre_id,address,geometry,operating_hours
164,1025 Scarlett Rd,MULTIPOINT ((-79.5253118023 43.7006762308)),Morning only
165,71 Second St,MULTIPOINT ((-79.500022907 43.603725079)),Full day
166,101 Barrington Ave,MULTIPOINT ((-79.301831245 43.692378893)),Full day
167,1430 Sheppard Ave W,MULTIPOINT ((-79.488260657 43.745424353)),Full day
168,38 Shirley St,MULTIPOINT ((-79.436722167 43.648524232)),Full day
169,31 Shoreham Dr,MULTIPOINT ((-79.517387964 43.768799546)),Full day
170,1645 Sheppard Ave W,MULTIPOINT ((-79.4959297487 43.7424154325)),Evening available
171,300 Kane Ave,MULTIPOINT ((-79.46941511 43.687249419)),Full day
172,765 Queen St E,MULTIPOINT ((-79.347569552 43.659191904)),Weekend available
173,70 Spruce St,MULTIPOINT ((-79.36382992 43.664486002)),Full day
174,49 Donlands Ave,MULTIPOINT ((-79.3370372373 43.6810032868)),Other
175,111 Cactus Ave,MULTIPOINT ((-79.433262284 43.791910563)),Full day
176,3521 Finch Ave E,MULTIPOINT ((-79.309250776 43.797523549)),Full day
177,843 Palmerston Ave,MULTIPOINT ((-79.415679242 43.671409987)),Weekend available
178,1125 Midland Ave,MULTIPOINT ((-79.261510742 43.743641037)),Full day
179,220 Mount Olive Dr,MULTIPOINT ((-79.596902843 43.754521497)),Full day
180,130 Shanly St,MULTIPOINT ((-79.434920839 43.663604792)),Full day
181,25 Janray Dr,MULTIPOINT ((-79.219060612 43.762468723)),Full day
182,30 Washburn Way,MULTIPOINT ((-79.2285151089 43.7972498361)),Full day
183,20 Stong Crt,MULTIPOINT ((-79.518064126 43.762342122)),Morning only
184,155 John Garland Blvd,MULTIPOINT ((-79.5917430392 43.7315012917)),Full day
185,333 Firgrove Cres,MULTIPOINT ((-79.519124513 43.754132912)),Afternoon only
186,1196 College St,MULTIPOINT ((-79.436156328 43.652084574)),Full day
187,66 Sheridan Ave,MULTIPOINT ((-79.433443582 43.64734406)),Full day
188,175 Grenoble Dr,MULTIPOINT ((-79.32984789 43.712453971)),Full day
189,173 Front St E,MULTIPOINT ((-79.3683961177 43.6501136636)),Weekend available
190,3672 Lake Shore Blvd W,MULTIPOINT ((-79.538179289 43.594476737)),Full day
191,235 Galloway Rd,MULTIPOINT ((-79.195821226 43.767950553)),Full day
192,75 Alexmuir Blvd,MULTIPOINT ((-79.285091952 43.808230661)),Full day
193,270 Laughton Ave,MULTIPOINT ((-79.45779303 43.674012901)),Full day
194,3220 Lawrence Ave E,MULTIPOINT ((-79.240559927 43.757482394)),Full day
195,1685 Finch Ave W,MULTIPOINT ((-79.502594114 43.760045944)),Morning only
196,10 John Tabor Trail,MULTIPOINT ((-79.211827407 43.806193449)),Full day
197,851 Royal York Rd,MULTIPOINT ((-79.508920952 43.6427466413)),Other
198,851 Royal York Rd,MULTIPOINT ((-79.508920952 43.6427466413)),Full day
199,69 Pritchard Ave,MULTIPOINT ((-79.491126771 43.669251383)),Full day
200,644 Warden Ave,MULTIPOINT ((-79.277287739 43.700037759)),Full day
201,302 Spadina Ave,MULTIPOINT ((-79.39859011 43.65334151)),Evening available
