neighbourhood_name,children_0_4,median_age_population,median_after_tax_income_2020_over_15,after_tax_bottom_half_distribution,    In bottom decile,    In second decile,    In third decile,    In fourth decile,    In fifth decile,    In sixth decile,    In seventh decile,    In eighth decile,    In ninth decile,    In top decile,inequality_index,count_of_children,single_moms,is_nia,AREA_NAME,childcare_centres_count,centres_per_100_children,centres_per_1000_children
Wellington Place,710,30.8,56400,9825,3690,1525,1645,1495,1465,1635,1990,2690,3270,6160,0.4,1720,270,False,,0.0,0.0,0.0
Harbourfront-CityPlace,1030,32,50800,11760,4145,1945,1950,1795,1930,2185,2415,3030,3765,4980,0.3,2885,570,False,Harbourfront-CityPlace,2.0,0.1941747572815534,1.941747572815534
St Lawrence-East Bayfront-The Islands,1045,35.2,50400,13055,4505,2525,2015,2075,1945,2275,2570,2650,3950,6795,0.4,3360,885,False,St Lawrence-East Bayfront-The Islands,3.0,0.28708133971291866,2.8708133971291865
Church-Wellesley,495,33.6,38800,12960,5305,2065,1855,2000,1735,1590,1750,1740,2075,2205,0.4,1525,380,False,Church-Wellesley,2.0,0.40404040404040403,4.040404040404041
Downtown Yonge East,480,32.8,40800,9350,4025,1680,1335,1170,1130,1090,1150,1445,1730,2930,0.4,1515,365,False,Downtown Yonge East,1.0,0.20833333333333334,2.0833333333333335
Bay-Cloverhill,370,29.8,36800,9715,4865,1430,1130,1215,1075,900,1105,1275,1195,2480,0.5,1315,390,False,Bay-Cloverhill,1.0,0.2702702702702703,2.7027027027027026
Yonge-Bay Corridor,500,31,40400,6880,2985,1420,1030,765,670,845,840,965,1195,1920,0.4,1370,335,False,,0.0,0.0,0.0
Junction-Wallace Emerson,1135,37.6,37200,11315,2595,2250,2080,2205,2185,2255,1990,2480,2365,2775,0.3,4725,940,False,Junction-Wallace Emerson,2.0,0.1762114537444934,1.762114537444934
Dovercourt Village,445,39.2,34800,6000,1435,1360,1300,750,1155,1060,1000,1125,1225,1970,0.3,2335,475,False,Dovercourt Village,3.0,0.6741573033707865,6.741573033707866
North Toronto,535,35.2,41200,8480,2630,1595,1555,1240,1465,1540,1570,1525,1340,1430,0.3,2005,570,False,North Toronto,1.0,0.1869158878504673,1.8691588785046729
South Eglinton-Davisville,910,36,46000,10335,3305,1725,1745,1640,1925,2010,1995,2215,2635,3550,0.4,3220,720,False,,0.0,0.0,0.0
